date,year,month,day,week,day_of_week
2023-09-09,2023,9,9,36,5
2023-09-10,2023,9,10,36,6
2023-09-11,2023,9,11,37,0
2023-09-12,2023,9,12,37,1
2023-09-13,2023,9,13,37,2
2023-09-14,2023,9,14,37,3
2023-09-15,2023,9,15,37,4
2023-09-16,2023,9,16,37,5
2023-09-17,2023,9,17,37,6
2023-09-18,2023,9,18,38,0
2023-09-19,2023,9,19,38,1
2023-09-20,2023,9,20,38,2
2023-09-21,2023,9,21,38,3
2023-09-22,2023,9,22,38,4
2023-09-23,2023,9,23,38,5
2023-09-24,2023,9,24,38,6
2023-09-25,2023,9,25,39,0
2023-09-26,2023,9,26,39,1
2023-09-27,2023,9,27,39,2
2023-09-28,2023,9,28,39,3
2023-09-29,2023,9,29,39,4
2023-09-30,2023,9,30,39,5
2023-10-01,2023,10,1,39,6
2023-10-02,2023,10,2,40,0
2023-10-03,2023,10,3,40,1
2023-10-04,2023,10,4,40,2
2023-10-05,2023,10,5,40,3
2023-10-06,2023,10,6,40,4
2023-10-07,2023,10,7,40,5
2023-10-08,2023,10,8,40,6
2023-10-09,2023,10,9,41,0
2023-10-10,2023,10,10,41,1
2023-10-11,2023,10,11,41,2
2023-10-12,2023,10,12,41,3
2023-10-13,2023,10,13,41,4
2023-10-14,2023,10,14,41,5
2023-10-15,2023,10,15,41,6
2023-10-16,2023,10,16,42,0
2023-10-17,2023,10,17,42,1
2023-10-18,2023,10,18,42,2
2023-10-19,2023,10,19,42,3
2023-10-20,2023,10,20,42,4
2023-10-21,2023,10,21,42,5
2023-10-22,2023,10,22,42,6
2023-10-23,2023,10,23,43,0
2023-10-24,2023,10,24,43,1
2023-10-25,2023,10,25,43,2
2023-10-26,2023,10,26,43,3
2023-10-27,2023,10,27,43,4
2023-10-28,2023,10,28,43,5
2023-10-29,2023,10,29,43,6
2023-10-30,2023,10,30,44,0
2023-10-31,2023,10,31,44,1
2023-11-01,2023,11,1,44,2
2023-11-02,2023,11,2,44,3
2023-11-03,2023,11,3,44,4
2023-11-04,2023,11,4,44,5
2023-11-05,2023,11,5,44,6
2023-11-06,2023,11,6,45,0
2023-11-07,2023,11,7,45,1
2023-11-08,2023,11,8,45,2
2023-11-09,2023,11,9,45,3
2023-11-10,2023,11,10,45,4
2023-11-11,2023,11,11,45,5
2023-11-12,2023,11,12,45,6
2023-11-13,2023,11,13,46,0
2023-11-14,2023,11,14,46,1
2023-11-15,2023,11,15,46,2
2023-11-16,2023,11,16,46,3
2023-11-17,2023,11,17,46,4
2023-11-18,2023,11,18,46,5
2023-11-19,2023,11,19,46,6
2023-11-20,2023,11,20,47,0
2023-11-21,2023,11,21,47,1
2023-11-22,2023,11,22,47,2
2023-11-23,2023,11,23,47,3
2023-11-24,2023,11,24,47,4
2023-11-25,2023,11,25,47,5
2023-11-26,2023,11,26,47,6
2023-11-27,2023,11,27,48,0
2023-11-28,2023,11,28,48,1
2023-11-29,2023,11,29,48,2
2023-11-30,2023,11,30,48,3
2023-12-01,2023,12,1,48,4
2023-12-02,2023,12,2,48,5
2023-12-03,2023,12,3,48,6
2023-12-04,2023,12,4,49,0
2023-12-05,2023,12,5,49,1
2023-12-06,2023,12,6,49,2
2023-12-07,2023,12,7,49,3
2023-12-08,2023,12,8,49,4
2023-12-09,2023,12,9,49,5
2023-12-10,2023,12,10,49,6
2023-12-11,2023,12,11,50,0
2023-12-12,2023,12,12,50,1
2023-12-13,2023,12,13,50,2
2023-12-14,2023,12,14,50,3
2023-12-15,2023,12,15,50,4
2023-12-16,2023,12,16,50,5
2023-12-17,2023,12,17,50,6
2023-12-18,2023,12,18,51,0
2023-12-19,2023,12,19,51,1
2023-12-20,2023,12,20,51,2
2023-12-21,2023,12,21,51,3
2023-12-22,2023,12,22,51,4
2023-12-23,2023,12,23,51,5
2023-12-24,2023,12,24,51,6
2023-12-25,2023,12,25,52,0
2023-12-26,2023,12,26,52,1
2023-12-27,2023,12,27,52,2
2023-12-28,2023,12,28,52,3
2023-12-29,2023,12,29,52,4
2023-12-30,2023,12,30,52,5
2023-12-31,2023,12,31,52,6
2024-01-01,2024,1,1,1,0
2024-01-02,2024,1,2,1,1
2024-01-03,2024,1,3,1,2
2024-01-04,2024,1,4,1,3
2024-01-05,2024,1,5,1,4
2024-01-06,2024,1,6,1,5
2024-01-07,2024,1,7,1,6
2024-01-08,2024,1,8,2,0
2024-01-09,2024,1,9,2,1
2024-01-10,2024,1,10,2,2
2024-01-11,2024,1,11,2,3
2024-01-12,2024,1,12,2,4
2024-01-13,2024,1,13,2,5
2024-01-14,2024,1,14,2,6
2024-01-15,2024,1,15,3,0
2024-01-16,2024,1,16,3,1
2024-01-17,2024,1,17,3,2
2024-01-18,2024,1,18,3,3
2024-01-19,2024,1,19,3,4
2024-01-20,2024,1,20,3,5
2024-01-21,2024,1,21,3,6
2024-01-22,2024,1,22,4,0
2024-01-23,2024,1,23,4,1
2024-01-24,2024,1,24,4,2
2024-01-25,2024,1,25,4,3
2024-01-26,2024,1,26,4,4
2024-01-27,2024,1,27,4,5
2024-01-28,2024,1,28,4,6
2024-01-29,2024,1,29,5,0
2024-01-30,2024,1,30,5,1
2024-01-31,2024,1,31,5,2
2024-02-01,2024,2,1,5,3
2024-02-02,2024,2,2,5,4
2024-02-03,2024,2,3,5,5
2024-02-04,2024,2,4,5,6
2024-02-05,2024,2,5,6,0
2024-02-06,2024,2,6,6,1
2024-02-07,2024,2,7,6,2
2024-02-08,2024,2,8,6,3
2024-02-09,2024,2,9,6,4
2024-02-10,2024,2,10,6,5
2024-02-11,2024,2,11,6,6
2024-02-12,2024,2,12,7,0
2024-02-13,2024,2,13,7,1
2024-02-14,2024,2,14,7,2
2024-02-15,2024,2,15,7,3
2024-02-16,2024,2,16,7,4
2024-02-17,2024,2,17,7,5
2024-02-18,2024,2,18,7,6
2024-02-19,2024,2,19,8,0
2024-02-20,2024,2,20,8,1
2024-02-21,2024,2,21,8,2
2024-02-22,2024,2,22,8,3
2024-02-23,2024,2,23,8,4
2024-02-24,2024,2,24,8,5
2024-02-25,2024,2,25,8,6
2024-02-26,2024,2,26,9,0
2024-02-27,2024,2,27,9,1
2024-02-28,2024,2,28,9,2
2024-02-29,2024,2,29,9,3
2024-03-01,2024,3,1,9,4
2024-03-02,2024,3,2,9,5
2024-03-03,2024,3,3,9,6
2024-03-04,2024,3,4,10,0
2024-03-05,2024,3,5,10,1
2024-03-06,2024,3,6,10,2
2024-03-07,2024,3,7,10,3
2024-03-08,2024,3,8,10,4
2024-03-09,2024,3,9,10,5
2024-03-10,2024,3,10,10,6
2024-03-11,2024,3,11,11,0
2024-03-12,2024,3,12,11,1
2024-03-13,2024,3,13,11,2
2024-03-14,2024,3,14,11,3
2024-03-15,2024,3,15,11,4
2024-03-16,2024,3,16,11,5
2024-03-17,2024,3,17,11,6
2024-03-18,2024,3,18,12,0
2024-03-19,2024,3,19,12,1
2024-03-20,2024,3,20,12,2
2024-03-21,2024,3,21,12,3
2024-03-22,2024,3,22,12,4
2024-03-23,2024,3,23,12,5
2024-03-24,2024,3,24,12,6
2024-03-25,2024,3,25,13,0
2024-03-26,2024,3,26,13,1
2024-03-27,2024,3,27,13,2
2024-03-28,2024,3,28,13,3
2024-03-29,2024,3,29,13,4
2024-03-30,2024,3,30,13,5
2024-03-31,2024,3,31,13,6
2024-04-01,2024,4,1,14,0
2024-04-02,2024,4,2,14,1
2024-04-03,2024,4,3,14,2
2024-04-04,2024,4,4,14,3
2024-04-05,2024,4,5,14,4
2024-04-06,2024,4,6,14,5
2024-04-07,2024,4,7,14,6
2024-04-08,2024,4,8,15,0
2024-04-09,2024,4,9,15,1
2024-04-10,2024,4,10,15,2
2024-04-11,2024,4,11,15,3
2024-04-12,2024,4,12,15,4
2024-04-13,2024,4,13,15,5
2024-04-14,2024,4,14,15,6
2024-04-15,2024,4,15,16,0
2024-04-16,2024,4,16,16,1
2024-04-17,2024,4,17,16,2
2024-04-18,2024,4,18,16,3
2024-04-19,2024,4,19,16,4
2024-04-20,2024,4,20,16,5
2024-04-21,2024,4,21,16,6
2024-04-22,2024,4,22,17,0
2024-04-23,2024,4,23,17,1
2024-04-24,2024,4,24,17,2
2024-04-25,2024,4,25,17,3
2024-04-26,2024,4,26,17,4
2024-04-27,2024,4,27,17,5
2024-04-28,2024,4,28,17,6
2024-04-29,2024,4,29,18,0
2024-04-30,2024,4,30,18,1
2024-05-01,2024,5,1,18,2
2024-05-02,2024,5,2,18,3
2024-05-03,2024,5,3,18,4
2024-05-04,2024,5,4,18,5
2024-05-05,2024,5,5,18,6
2024-05-06,2024,5,6,19,0
2024-05-07,2024,5,7,19,1
2024-05-08,2024,5,8,19,2
2024-05-09,2024,5,9,19,3
2024-05-10,2024,5,10,19,4
2024-05-11,2024,5,11,19,5
2024-05-12,2024,5,12,19,6
2024-05-13,2024,5,13,20,0
2024-05-14,2024,5,14,20,1
2024-05-15,2024,5,15,20,2
2024-05-16,2024,5,16,20,3
2024-05-17,2024,5,17,20,4
2024-05-18,2024,5,18,20,5
2024-05-19,2024,5,19,20,6
2024-05-20,2024,5,20,21,0
2024-05-21,2024,5,21,21,1
2024-05-22,2024,5,22,21,2
2024-05-23,2024,5,23,21,3
2024-05-24,2024,5,24,21,4
2024-05-25,2024,5,25,21,5
2024-05-26,2024,5,26,21,6
2024-05-27,2024,5,27,22,0
2024-05-28,2024,5,28,22,1
2024-05-29,2024,5,29,22,2
2024-05-30,2024,5,30,22,3
2024-05-31,2024,5,31,22,4
2024-06-01,2024,6,1,22,5
2024-06-02,2024,6,2,22,6
2024-06-03,2024,6,3,23,0
2024-06-04,2024,6,4,23,1
2024-06-05,2024,6,5,23,2
2024-06-06,2024,6,6,23,3
2024-06-07,2024,6,7,23,4
2024-06-08,2024,6,8,23,5
2024-06-09,2024,6,9,23,6
2024-06-10,2024,6,10,24,0
2024-06-11,2024,6,11,24,1
2024-06-12,2024,6,12,24,2
2024-06-13,2024,6,13,24,3
2024-06-14,2024,6,14,24,4
2024-06-15,2024,6,15,24,5
2024-06-16,2024,6,16,24,6
2024-06-17,2024,6,17,25,0
2024-06-18,2024,6,18,25,1
2024-06-19,2024,6,19,25,2
2024-06-20,2024,6,20,25,3
2024-06-21,2024,6,21,25,4
2024-06-22,2024,6,22,25,5
2024-06-23,2024,6,23,25,6
2024-06-24,2024,6,24,26,0
2024-06-25,2024,6,25,26,1
2024-06-26,2024,6,26,26,2
2024-06-27,2024,6,27,26,3
2024-06-28,2024,6,28,26,4
2024-06-29,2024,6,29,26,5
2024-06-30,2024,6,30,26,6
2024-07-01,2024,7,1,27,0
2024-07-02,2024,7,2,27,1
2024-07-03,2024,7,3,27,2
2024-07-04,2024,7,4,27,3
2024-07-05,2024,7,5,27,4
2024-07-06,2024,7,6,27,5
2024-07-07,2024,7,7,27,6
2024-07-08,2024,7,8,28,0
2024-07-09,2024,7,9,28,1
2024-07-10,2024,7,10,28,2
2024-07-11,2024,7,11,28,3
2024-07-12,2024,7,12,28,4
2024-07-13,2024,7,13,28,5
2024-07-14,2024,7,14,28,6
2024-07-15,2024,7,15,29,0
2024-07-16,2024,7,16,29,1
2024-07-17,2024,7,17,29,2
2024-07-18,2024,7,18,29,3
2024-07-19,2024,7,19,29,4
2024-07-20,2024,7,20,29,5
2024-07-21,2024,7,21,29,6
2024-07-22,2024,7,22,30,0
2024-07-23,2024,7,23,30,1
2024-07-24,2024,7,24,30,2
2024-07-25,2024,7,25,30,3
2024-07-26,2024,7,26,30,4
2024-07-27,2024,7,27,30,5
2024-07-28,2024,7,28,30,6
2024-07-29,2024,7,29,31,0
2024-07-30,2024,7,30,31,1
2024-07-31,2024,7,31,31,2
2024-08-01,2024,8,1,31,3
2024-08-02,2024,8,2,31,4
2024-08-03,2024,8,3,31,5
2024-08-04,2024,8,4,31,6
2024-08-05,2024,8,5,32,0
2024-08-06,2024,8,6,32,1
2024-08-07,2024,8,7,32,2
2024-08-08,2024,8,8,32,3
2024-08-09,2024,8,9,32,4
2024-08-10,2024,8,10,32,5
2024-08-11,2024,8,11,32,6
2024-08-12,2024,8,12,33,0
2024-08-13,2024,8,13,33,1
2024-08-14,2024,8,14,33,2
2024-08-15,2024,8,15,33,3
2024-08-16,2024,8,16,33,4
2024-08-17,2024,8,17,33,5
2024-08-18,2024,8,18,33,6
2024-08-19,2024,8,19,34,0
2024-08-20,2024,8,20,34,1
2024-08-21,2024,8,21,34,2
2024-08-22,2024,8,22,34,3
2024-08-23,2024,8,23,34,4
2024-08-24,2024,8,24,34,5
2024-08-25,2024,8,25,34,6
2024-08-26,2024,8,26,35,0
2024-08-27,2024,8,27,35,1
2024-08-28,2024,8,28,35,2
2024-08-29,2024,8,29,35,3
2024-08-30,2024,8,30,35,4
2024-08-31,2024,8,31,35,5
2024-09-01,2024,9,1,35,6
2024-09-02,2024,9,2,36,0
2024-09-03,2024,9,3,36,1
2024-09-04,2024,9,4,36,2
2024-09-05,2024,9,5,36,3
2024-09-06,2024,9,6,36,4
2024-09-07,2024,9,7,36,5
2024-09-08,2024,9,8,36,6
2024-09-09,2024,9,9,37,0
2024-09-10,2024,9,10,37,1
2024-09-11,2024,9,11,37,2
2024-09-12,2024,9,12,37,3
2024-09-13,2024,9,13,37,4
2024-09-14,2024,9,14,37,5
2024-09-15,2024,9,15,37,6
2024-09-16,2024,9,16,38,0
2024-09-17,2024,9,17,38,1
2024-09-18,2024,9,18,38,2
2024-09-19,2024,9,19,38,3
2024-09-20,2024,9,20,38,4
2024-09-21,2024,9,21,38,5
2024-09-22,2024,9,22,38,6
2024-09-23,2024,9,23,39,0
2024-09-24,2024,9,24,39,1
2024-09-25,2024,9,25,39,2
2024-09-26,2024,9,26,39,3
2024-09-27,2024,9,27,39,4
2024-09-28,2024,9,28,39,5
2024-09-29,2024,9,29,39,6
2024-09-30,2024,9,30,40,0
2024-10-01,2024,10,1,40,1
2024-10-02,2024,10,2,40,2
2024-10-03,2024,10,3,40,3
2024-10-04,2024,10,4,40,4
2024-10-05,2024,10,5,40,5
2024-10-06,2024,10,6,40,6
2024-10-07,2024,10,7,41,0
2024-10-08,2024,10,8,41,1
2024-10-09,2024,10,9,41,2
2024-10-10,2024,10,10,41,3
2024-10-11,2024,10,11,41,4
2024-10-12,2024,10,12,41,5
2024-10-13,2024,10,13,41,6
2024-10-14,2024,10,14,42,0
2024-10-15,2024,10,15,42,1
2024-10-16,2024,10,16,42,2
2024-10-17,2024,10,17,42,3
2024-10-18,2024,10,18,42,4
2024-10-19,2024,10,19,42,5
2024-10-20,2024,10,20,42,6
2024-10-21,2024,10,21,43,0
2024-10-22,2024,10,22,43,1
2024-10-23,2024,10,23,43,2
2024-10-24,2024,10,24,43,3
2024-10-25,2024,10,25,43,4
2024-10-26,2024,10,26,43,5
2024-10-27,2024,10,27,43,6
2024-10-28,2024,10,28,44,0
2024-10-29,2024,10,29,44,1
2024-10-30,2024,10,30,44,2
2024-10-31,2024,10,31,44,3
2024-11-01,2024,11,1,44,4
2024-11-02,2024,11,2,44,5
2024-11-03,2024,11,3,44,6
2024-11-04,2024,11,4,45,0
2024-11-05,2024,11,5,45,1
2024-11-06,2024,11,6,45,2
2024-11-07,2024,11,7,45,3
2024-11-08,2024,11,8,45,4
2024-11-09,2024,11,9,45,5
2024-11-10,2024,11,10,45,6
2024-11-11,2024,11,11,46,0
2024-11-12,2024,11,12,46,1
2024-11-13,2024,11,13,46,2
2024-11-14,2024,11,14,46,3
2024-11-15,2024,11,15,46,4
2024-11-16,2024,11,16,46,5
2024-11-17,2024,11,17,46,6
2024-11-18,2024,11,18,47,0
2024-11-19,2024,11,19,47,1
2024-11-20,2024,11,20,47,2
2024-11-21,2024,11,21,47,3
2024-11-22,2024,11,22,47,4
2024-11-23,2024,11,23,47,5
2024-11-24,2024,11,24,47,6
2024-11-25,2024,11,25,48,0
2024-11-26,2024,11,26,48,1
2024-11-27,2024,11,27,48,2
2024-11-28,2024,11,28,48,3
2024-11-29,2024,11,29,48,4
2024-11-30,2024,11,30,48,5
2024-12-01,2024,12,1,48,6
2024-12-02,2024,12,2,49,0
2024-12-03,2024,12,3,49,1
2024-12-04,2024,12,4,49,2
2024-12-05,2024,12,5,49,3
2024-12-06,2024,12,6,49,4
2024-12-07,2024,12,7,49,5
2024-12-08,2024,12,8,49,6
2024-12-09,2024,12,9,50,0
2024-12-10,2024,12,10,50,1
2024-12-11,2024,12,11,50,2
2024-12-12,2024,12,12,50,3
2024-12-13,2024,12,13,50,4
2024-12-14,2024,12,14,50,5
2024-12-15,2024,12,15,50,6
2024-12-16,2024,12,16,51,0
2024-12-17,2024,12,17,51,1
2024-12-18,2024,12,18,51,2
2024-12-19,2024,12,19,51,3
2024-12-20,2024,12,20,51,4
2024-12-21,2024,12,21,51,5
2024-12-22,2024,12,22,51,6
2024-12-23,2024,12,23,52,0
2024-12-24,2024,12,24,52,1
2024-12-25,2024,12,25,52,2
2024-12-26,2024,12,26,52,3
2024-12-27,2024,12,27,52,4
2024-12-28,2024,12,28,52,5
2024-12-29,2024,12,29,52,6
2024-12-30,2024,12,30,1,0
2024-12-31,2024,12,31,1,1
